liczba_rannych,liczba_zabitych,liczba_wszystkich_poszkodowanych,liczba_wypadkow,quarter
45,0,45,25,2015Q1
29,0,29,27,2015Q2
49,0,49,45,2015Q3
43,1,44,41,2015Q4
30,1,31,26,2016Q1
44,2,46,44,2016Q2
28,2,30,30,2016Q3
54,1,55,47,2016Q4
19,1,20,18,2017Q1
37,0,37,33,2017Q2
40,1,41,36,2017Q3
107,1,108,90,2017Q4
36,0,36,29,2018Q1
66,1,67,50,2018Q2
38,0,38,34,2018Q3
57,2,59,53,2018Q4
27,5,32,29,2019Q1
53,0,53,51,2019Q2
46,0,46,44,2019Q3
50,1,51,47,2019Q4
32,1,33,28,2020Q1
36,0,36,34,2020Q2
50,1,51,48,2020Q3
24,0,24,22,2020Q4
29,0,29,24,2021Q1
36,1,37,34,2021Q2
54,3,57,53,2021Q3
23,0,23,21,2021Q4
24,0,24,23,2022Q1
34,1,35,29,2022Q2
51,0,51,48,2022Q3
29,3,32,26,2022Q4
24,0,24,22,2023Q1
44,2,46,39,2023Q2
30,1,31,26,2023Q3
31,0,31,27,2023Q4
16,0,16,15,2024Q1
27,1,28,27,2024Q2
32,1,33,28,2024Q3
33,1,34,27,2024Q4
15,0,15,14,2025Q1
27,2,29,27,2025Q2
41,2,43,36,2025Q3
17,2,19,19,2025Q4
